end_date,excess_readmission_ratio,expected_readmission_rate,facility_id,facility_name,footnote,measure_name,number_of_discharges,number_of_readmissions,predicted_readmission_rate,start_date,state
06/30/2024,0.9875,4.6311,010001,SOUTHEAST HEALTH MEDICAL CENTER,,READM-30-HIP-KNEE-HRRP,N/A,Too Few to Report,4.5734,07/01/2021,AL
06/30/2024,0.9531,10.9078,010001,SOUTHEAST HEALTH MEDICAL CENTER,,READM-30-CABG-HRRP,137,13,10.3960,07/01/2021,AL
06/30/2024,0.9370,14.1948,010001,SOUTHEAST HEALTH MEDICAL CENTER,,READM-30-AMI-HRRP,273,33,13.2998,07/01/2021,AL
06/30/2024,0.9823,16.9389,010001,SOUTHEAST HEALTH MEDICAL CENTER,,READM-30-COPD-HRRP,122,19,16.6384,07/01/2021,AL
06/30/2024,0.9871,15.9591,010001,SOUTHEAST HEALTH MEDICAL CENTER,,READM-30-PN-HRRP,507,79,15.7529,07/01/2021,AL
06/30/2024,1.0233,20.1010,010001,SOUTHEAST HEALTH MEDICAL CENTER,,READM-30-HF-HRRP,653,136,20.5695,07/01/2021,AL
06/30/2024,N/A,N/A,010005,MARSHALL MEDICAL CENTERS,5,READM-30-CABG-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,N/A,N/A,010005,MARSHALL MEDICAL CENTERS,1,READM-30-AMI-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,0.9308,18.1080,010005,MARSHALL MEDICAL CENTERS,,READM-30-COPD-HRRP,132,17,16.8541,07/01/2021,AL
06/30/2024,1.0087,20.7700,010005,MARSHALL MEDICAL CENTERS,,READM-30-HF-HRRP,164,35,20.9512,07/01/2021,AL
06/30/2024,0.8602,5.3609,010005,MARSHALL MEDICAL CENTERS,,READM-30-HIP-KNEE-HRRP,N/A,Too Few to Report,4.6113,07/01/2021,AL
06/30/2024,0.8727,15.2532,010005,MARSHALL MEDICAL CENTERS,,READM-30-PN-HRRP,292,30,13.3116,07/01/2021,AL
06/30/2024,0.9195,12.6772,010006,NORTH ALABAMA MEDICAL CENTER,,READM-30-AMI-HRRP,285,29,11.6567,07/01/2021,AL
06/30/2024,1.0527,5.7783,010006,NORTH ALABAMA MEDICAL CENTER,,READM-30-HIP-KNEE-HRRP,N/A,Too Few to Report,6.0830,07/01/2021,AL
06/30/2024,0.9819,15.9334,010006,NORTH ALABAMA MEDICAL CENTER,,READM-30-PN-HRRP,679,105,15.6444,07/01/2021,AL
06/30/2024,0.9925,19.3517,010006,NORTH ALABAMA MEDICAL CENTER,,READM-30-HF-HRRP,461,88,19.2066,07/01/2021,AL
06/30/2024,1.0027,11.1399,010006,NORTH ALABAMA MEDICAL CENTER,,READM-30-CABG-HRRP,N/A,Too Few to Report,11.1697,07/01/2021,AL
06/30/2024,1.0520,18.1604,010006,NORTH ALABAMA MEDICAL CENTER,,READM-30-COPD-HRRP,174,37,19.1045,07/01/2021,AL
06/30/2024,1.0345,15.7913,010007,MIZELL MEMORIAL HOSPITAL,,READM-30-PN-HRRP,84,16,16.3360,07/01/2021,AL
06/30/2024,N/A,N/A,010007,MIZELL MEMORIAL HOSPITAL,1,READM-30-AMI-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,1.0620,18.5446,010007,MIZELL MEMORIAL HOSPITAL,,READM-30-HF-HRRP,39,12,19.6947,07/01/2021,AL
06/30/2024,N/A,N/A,010007,MIZELL MEMORIAL HOSPITAL,1,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,1.0232,16.2168,010007,MIZELL MEMORIAL HOSPITAL,,READM-30-COPD-HRRP,N/A,Too Few to Report,16.5931,07/01/2021,AL
06/30/2024,N/A,N/A,010007,MIZELL MEMORIAL HOSPITAL,5,READM-30-CABG-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,N/A,N/A,010008,CRENSHAW COMMUNITY HOSPITAL,5,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,1.0017,13.3883,010008,CRENSHAW COMMUNITY HOSPITAL,,READM-30-PN-HRRP,N/A,Too Few to Report,13.4114,07/01/2021,AL
06/30/2024,N/A,N/A,010008,CRENSHAW COMMUNITY HOSPITAL,1,READM-30-HF-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,N/A,N/A,010008,CRENSHAW COMMUNITY HOSPITAL,5,READM-30-CABG-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,N/A,N/A,010008,CRENSHAW COMMUNITY HOSPITAL,1,READM-30-COPD-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,N/A,N/A,010008,CRENSHAW COMMUNITY HOSPITAL,1,READM-30-AMI-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,0.9697,11.8232,010011,ST. VINCENT'S EAST,29,READM-30-AMI-HRRP,118,12,11.4644,07/01/2021,AL
06/30/2024,1.1213,11.2054,010011,ST. VINCENT'S EAST,29,READM-30-CABG-HRRP,63,11,12.5649,07/01/2021,AL
06/30/2024,1.0373,19.1894,010011,ST. VINCENT'S EAST,29,READM-30-HF-HRRP,268,56,19.9060,07/01/2021,AL
06/30/2024,N/A,N/A,010011,ST. VINCENT'S EAST,1,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,07/01/2021,AL
06/30/2024,0.9988,19.4725,010011,ST. VINCENT'S EAST,29,READM-30-COPD-HRRP,57,11,19.4501,07/01/2021,AL
06/30/2024,1.0102,15.9654,010011,ST. VINCENT'S EAST,29,READM-30-PN-HRRP,281,46,16.1282,07/01/2021,AL
06/30/2024,0.9322,4.3357,010012,DEKALB REGIONAL MEDICAL CENTER,,READM-30-HIP-KNEE-HRRP,N/A,Too Few to Report,4.0417,07/01/2021,AL
06/30/2024,1.0840,18.0817,010012,DEKALB REGIONAL MEDICAL CENTER,,READM-30-HF-HRRP,98,25,19.6001,07/01/2021,AL
06/30/2024,1.0565,10.8650,010012,DEKALB REGIONAL MEDICAL CENTER,,READM-30-AMI-HRRP,N/A,Too Few to Report,11.4786,07/01/2021,AL
06/30/2024,1.0206,14.9444,010012,DEKALB REGIONAL MEDICAL CENTER,,READM-30-PN-HRRP,142,23,15.2530,07/01/2021,AL
